booking_id,hotel_id,cust_id,Booking Date,checkin_date,checkout_date,Room_Nights,Num Rooms,Room_Category,Meal_Plan,Booking_Channel,Booking Price(INR),Discount_Applied(%),Net_Amount_Paid(INR),Payment Status,Cancellation Flag,Refund_Amount(INR),Lead_Time_Days,Post_Stay_Rating
BKG000022,HTL0254,CUST05245,2025-02-11,2025-02-22,2025-02-24,2,3.0,Premium,Room Only,app,106350.33,0.0,106350.33,Success,FALSE,0.0,11.0,
BKG000023,HTL0113,CUST02487,2026-08-26,2026-08-27,2026-08-28,1,3.0,Deluxe,Breakfast Included,Website,28297.04,10.0,25467.34,SUCCESS,No,0.0,,
BKG000024,HTL0044,CUST02041,2023-10-07,2023-10-21,2023-10-25,4,1.0,Premium,Breakfast Included,Website,81665.43,5.0,77582.16,success,No,0.0,14.0,4.0
BKG000025,HTL0249,CUST03036,2025-10-30,2025-11-10,2025-11-11,1,3.0,Deluxe,Breakfast Included,Website,13737.28,15.0,11676.69,success,FALSE,0.0,,
BKG000026,HTL0097,CUST05225,2025-07-03,2025-07-13,2025-07-16,3,4.0,Deluxe,Full Board,,142592.15,15.0,121203.33,failed,FALSE,0.0,,3.0
BKG000027,HTL0199,CUST04722,2024-01-16,2024-01-25,2024-01-27,2,1.0,Deluxe,Breakfast Included,Website,15613.45,10.0,14052.11,Success,no,0.0,9.0,
BKG000028,HTL0166,CUST01124,2025-01-06,2025-01-07,2025-01-12,5,1.0,Standard,Breakfast Included,App,49123.54,20.0,39298.83,Success,FALSE,0.0,,5.0
BKG000029,HTL0102,CUST05711,2023-09-28,2023-10-14,2023-10-15,1,1.0,Standard,Breakfast Included,app,9052.36,0.0,9052.36,success,N,0.0,,4.0
BKG000030,HTL0234,CUST05641,05/04/2024,2024-04-19,2024-04-20,1,1.0,Deluxe,Breakfast Included,WEBSITE,11363.22,0.0,11363.22,success,No,0.0,,
BKG000031,HTL0221,CUST05779,2025-10-09,2025-10-12,2025-10-13,1,2.0,Standard,Room Only,App,19080.34,10.0,17172.31,SUCCESS,FALSE,0.0,3.0,2.0
BKG000032,HTL0137,CUST04885,2024-08-03,2024-08-21,2024-08-22,1,2.0,Deluxe,Room Only,App,27622.06,0.0,27622.06,Success,N,0.0,18.0,3.0
BKG000033,HTL0159,CUST02067,05/12/2025,2025-12-09,2025-12-13,4,2.0,Standard,Breakfast Included,app,64808.48,5.0,61568.06,success,0,0.0,,3.0
BKG000034,HTL0234,CUST01374,2026-05-25,2026-06-05,2026-06-06,1,2.0,Standard,Breakfast Included,Travel Agent,19013.29,10.0,17111.96,success,0,0.0,11.0,
BKG000035,HTL0037,CUST00638,2024-06-19,2024-06-25,2024-06-27,2,3.0,Suite,Breakfast Included,Website,114121.92,0.0,114121.92,success,Y,111792.88,6.0,
BKG000036,HTL0280,CUST02896,2025-11-20,2026-01-10,2026-01-13,3,2.0,Standard,Room Only,App,48723.24,20.0,38978.59,Success,no,0.0,51.0,4.0
BKG000037,HTL0205,CUST04007,2026-08-19,2026-09-08,2026-09-10,2,1.0,Standard,Half Board,,15900.54,20.0,12720.43,Success,yes,11280.19,20.0,
BKG000038,HTL0045,CUST04360,22/09/2025,2025-10-01,2025-10-07,6,3.0,Standard,Room Only,Website,135887.65,0.0,135887.65,Success,FALSE,0.0,9.0,4.0
BKG000039,HTL0011,CUST01207,2025-11-22,2025-12-07,2025-12-09,2,1.0,Standard,Room Only,App,8726.29,10.0,7853.66,Success,0,0.0,,
BKG000040,HTL0246,CUST01794,2026-03-21,2026-04-11,2026-04-13,2,1.0,Deluxe,Breakfast Included,Website,25389.61,15.0,21581.17,success,0,0.0,,4.0
BKG000041,HTL0167,CUST04623,2025-04-07,2025-04-07,2025-04-08,1,1.0,Suite,Full Board,App,19147.85,0.0,19147.85,Pending,0,0.0,,5.0
BKG000042,HTL0020,CUST00876,2025-03-22,2025-03-23,2025-03-25,2,1.0,Suite,Breakfast Included,Website,37812.23,0.0,37812.23,success,no,0.0,,3.0
BKG000043,HTL0095,CUST01325,2026-08-24,2026-08-24,2026-08-26,2,1.0,Standard,Room Only,App,18056.69,5.0,17153.86,Success,0,0.0,,
BKG000044,HTL0272,CUST02374,2025-08-08,2025-08-14,2025-08-15,1,1.0,Suite,Room Only,Travel Agent,21583.73,5.0,20504.54,SUCCESS,no,0.0,,4.0
BKG000045,HTL0066,CUST05447,2023-10-17,2023-10-31,2023-11-02,2,2.0,Suite,Breakfast Included,App,82226.01,10.0,74003.41,Success,Yes,46797.12,,
BKG000046,HTL0014,CUST02415,2026-05-12,2026-06-13,2026-06-17,4,1.0,Standard,Half Board,App,39274.23,15.0,33383.1,Pending,FALSE,0.0,,3.0
BKG000047,HTL0060,CUST05745,2024-10-19,2024-10-21,2024-10-22,1,3.0,Standard,Breakfast Included,App,9864.63,15.0,8384.94,failed,N,0.0,2.0,
BKG000048,HTL0113,CUST00087,2026-06-10,2026-07-04,2026-07-05,1,3.0,Deluxe,Breakfast Included,app,25112.7,10.0,22601.43,success,No,0.0,,3.0
BKG000049,HTL0270,CUST01024,13/07/2026,2026-07-26,2026-07-27,1,1.0,Suite,Breakfast Included,Travel Agent,15757.66,10.0,14181.89,Failed,No,0.0,,
BKG000050,HTL0230,CUST05436,2023-11-28,2023-12-08,2023-12-10,2,2.0,Executive,Room Only,,44299.16,0.0,44299.16,Success,N,0.0,10.0,5.0
BKG000051,HTL0236,CUST02530,2024-05-24,2024-06-09,2024-06-10,1,1.0,Premium,Half Board,App,18792.68,5.0,17853.05,Pending,FALSE,0.0,,
BKG000052,HTL0129,CUST02855,19/11/2025,2025-11-29,2025-12-01,2,1.0,Standard,Breakfast Included,,16088.53,0.0,16088.53,Success,N,0.0,,3.0
BKG000053,HTL0002,CUST04468,2024-02-03,2024-02-13,2024-02-18,5,3.0,Standard,Half Board,Website,110476.49,10.0,99428.84,Success,TRUE,55202.55,10.0,
BKG000054,HTL0163,CUST03830,2025-01-02,2025-01-09,2025-01-11,2,2.0,Deluxe,Room Only,App,31783.52,0.0,31783.52,failed,0,0.0,,
BKG000055,HTL0107,CUST00797,2024-07-22,2024-08-16,2024-08-19,3,1.0,Executive,Full Board,App,57968.44,0.0,57968.44,Success,1,56051.17,25.0,
BKG000056,HTL0280,CUST04243,2026-08-29,2026-09-26,2026-09-28,2,1.0,Standard,Full Board,App,20840.42,0.0,20840.42,Success,0,0.0,,
BKG000057,HTL0027,CUST01073,10/03/2024,2024-03-18,2024-03-19,1,1.0,Standard,Full Board,Travel Agent,7015.82,5.0,6665.03,Success,N,0.0,8.0,4.0
BKG000058,HTL0033,CUST03598,2025-03-17,2025-03-27,2025-04-03,7,2.0,Deluxe,Room Only,Travel Agent,199923.8,15.0,169935.23,Failed,0,0.0,10.0,4.0
BKG000059,HTL0065,CUST01770,03/06/2026,2026-06-22,2026-06-25,3,1.0,Deluxe,Breakfast Included,App,25173.16,25.0,18879.87,success,no,0.0,19.0,
BKG000060,HTL0132,CUST04961,2023-11-19,2023-11-21,2023-11-24,3,1.0,Deluxe,Room Only,App,29342.45,10.0,26408.2,Success,No,0.0,2.0,2.0
BKG000061,HTL0038,CUST00273,2024-05-03,2024-05-19,2024-05-20,1,1.0,Premium,Breakfast Included,App,10359.62,10.0,9323.66,success,No,0.0,16.0,5.0
BKG000062,HTL0141,CUST01876,2024-06-03,2024-06-03,2024-06-05,2,1.0,Deluxe,Breakfast Included,,34243.12,10.0,30818.81,Success,0,0.0,,
BKG000063,HTL0257,CUST04976,2026-08-07,2026-08-18,2026-08-21,3,3.0,Standard,Room Only,,88808.87,,88808.87,Failed,Yes,84176.7,,
BKG000064,HTL0215,CUST03939,04/01/2026,2026-01-05,2026-01-09,4,2.0,Standard,Half Board,App,36314.57,20.0,29051.66,success,0,0.0,,
BKG000065,HTL0131,CUST05272,2024-06-24,2024-07-09,2024-07-10,1,2.0,Premium,Breakfast Included,Call Center,23762.39,15.0,20198.03,Success,N,0.0,15.0,
BKG000066,HTL0185,CUST03084,2025-06-16,2025-06-16,2025-06-17,1,1.0,Deluxe,Half Board,Call Center,10497.29,20.0,8397.83,success,no,0.0,,
BKG000067,HTL0093,CUST02024,24/07/2024,2024-07-29,2024-07-30,1,1.0,Deluxe,Room Only,,10221.34,10.0,9199.21,success,no,0.0,,4.0
BKG000068,HTL0209,CUST04293,2024-12-29,2025-01-08,2025-01-10,2,1.0,Standard,Half Board,App,27435.95,20.0,21948.76,Refunded,No,0.0,10.0,4.0
BKG000069,HTL0082,CUST02855,2026-04-22,2026-05-25,2026-05-29,4,1.0,Standard,Breakfast Included,App,36474.83,10.0,32827.35,failed,FALSE,0.0,,
BKG000070,HTL0192,CUST01520,13/04/2026,2026-05-06,2026-05-07,1,1.0,Deluxe,Breakfast Included,Website,7084.77,5.0,6730.53,Success,No,0.0,23.0,3.0
BKG000071,HTL0062,CUST01409,22/04/2025,2025-05-01,2025-05-03,2,3.0,Executive,Breakfast Included,Call Center,85939.61,15.0,73048.67,success,No,0.0,,
BKG000072,HTL0017,CUST01507,11/09/2024,2024-09-13,2024-09-17,4,3.0,Executive,Half Board,,198426.1,0.0,198426.1,success,No,0.0,,
BKG000073,HTL0218,CUST05877,2026-04-21,2026-05-14,2026-05-15,1,1.0,Deluxe,Half Board,App,12805.74,0.0,12805.74,Refunded,No,0.0,23.0,3.0
BKG000074,HTL0098,CUST01513,2024-03-27,2024-04-18,2024-04-20,2,1.0,Executive,Full Board,Website,18470.75,15.0,15700.14,SUCCESS,N,0.0,22.0,5.0
BKG000075,HTL0128,CUST01002,2026-01-09,2026-01-21,2026-02-03,13,3.0,Standard,Room Only,Website,308239.15,,262003.28,SUCCESS,0,0.0,12.0,4.0
BKG000076,HTL0016,CUST04224,2026-06-21,2026-06-21,2026-06-26,5,2.0,Standard,Room Only,Website,106057.68,0.0,106057.68,success,No,0.0,0.0,
BKG000077,HTL0215,CUST03940,21/06/2025,2025-06-28,2025-06-29,1,1.0,Standard,Room Only,Call Center,5415.08,25.0,4061.31,Failed,N,0.0,,4.0
BKG000078,HTL0265,CUST02666,2025-12-21,2026-01-03,2026-01-04,1,1.0,Standard,Room Only,WEBSITE,11488.01,10.0,10339.21,SUCCESS,no,0.0,13.0,
BKG000079,HTL0286,CUST02065,15/04/2024,2024-05-13,2024-05-14,1,2.0,Deluxe,Room Only,App,25430.47,5.0,24158.95,Success,FALSE,0.0,,
BKG000080,HTL0072,CUST02282,2025-03-05,2025-03-06,2025-03-08,2,1.0,Premium,Half Board,Website,38784.19,0.0,38784.19,Success,No,0.0,,5.0
BKG000081,HTL0054,CUST02011,2025-05-17,2025-05-27,2025-05-29,2,1.0,Premium,Half Board,Call Center,33176.3,10.0,29858.67,failed,0,0.0,10.0,2.0
BKG000082,HTL0057,CUST03396,21/07/2024,2024-07-25,2024-07-27,2,2.0,Deluxe,Room Only,App,42273.74,,42273.74,success,N,0.0,,2.0
BKG000083,HTL0257,CUST01280,2026-07-19,2026-07-19,2026-07-20,1,3.0,Standard,Half Board,App,38143.86,15.0,32422.28,success,FALSE,0.0,0.0,2.0
BKG000084,HTL0171,CUST00729,31/01/2025,2025-02-08,2025-02-10,2,2.0,Deluxe,Half Board,WEBSITE,39756.1,5.0,37768.3,Pending,FALSE,0.0,8.0,
BKG000085,HTL0148,CUST00171,22/12/2024,2024-12-31,2025-01-01,1,2.0,Deluxe,Half Board,app,27649.43,5.0,26266.96,success,no,0.0,9.0,2.0
BKG000086,HTL0106,CUST00982,2026-05-04,2026-05-26,2026-05-31,5,1.0,Deluxe,Half Board,Travel Agent,64811.66,0.0,64811.66,success,0,0.0,22.0,4.0
BKG000087,HTL0161,CUST02068,30/06/2024,2024-06-30,2024-07-01,1,4.0,Suite,Breakfast Included,Website,48038.63,0.0,48038.63,pending,FALSE,0.0,,
BKG000088,HTL0235,CUST01233,2026-05-10,2026-05-14,2026-05-16,2,2.0,Deluxe,Breakfast Included,Travel Agent,48953.38,15.0,41610.37,Refunded,FALSE,0.0,,2.0
BKG000089,HTL0092,CUST05362,23/01/2026,2026-02-26,2026-02-28,2,1.0,Premium,Breakfast Included,App,8675.26,0.0,8675.26,Success,N,0.0,34.0,1.0
BKG000090,HTL0156,CUST03066,2026-04-20,2026-04-22,2026-04-23,1,,Deluxe,Room Only,App,11796.15,15.0,10026.73,Success,0,0.0,,3.0
BKG000091,HTL0196,CUST03198,2024-04-29,2024-05-01,2024-05-02,1,1.0,Standard,Half Board,App,6835.27,20.0,5468.22,Failed,No,0.0,,
BKG000092,HTL0096,CUST02400,2024-09-05,2024-09-11,2024-09-15,4,1.0,Suite,Breakfast Included,app,60166.37,0.0,60166.37,Refunded,FALSE,0.0,,3.0
BKG000093,HTL0240,CUST05769,2026-06-14,2026-06-14,2026-06-18,4,1.0,Deluxe,Room Only,app,43725.22,15.0,37166.44,Success,FALSE,0.0,,3.0
BKG000094,HTL0128,CUST05436,21/06/2026,2026-06-21,2026-06-22,1,1.0,Deluxe,Full Board,Website,9630.56,0.0,9630.56,success,no,0.0,0.0,5.0
BKG000095,HTL0138,CUST00879,2025-02-08,2025-02-17,2025-02-26,9,2.0,Standard,Full Board,Website,158662.43,5.0,150729.31,success,FALSE,0.0,,3.0
BKG000096,HTL0227,CUST01031,2025-09-13,2025-09-15,2025-09-16,1,2.0,Standard,Breakfast Included,Website,18916.41,0.0,18916.41,failed,no,0.0,2.0,
BKG000097,HTL0164,CUST05148,2025-11-07,2025-12-04,2025-12-06,2,1.0,Suite,Half Board,Website,29886.0,10.0,26897.4,success,No,0.0,27.0,3.0
BKG000098,HTL0182,CUST04853,30/11/2025,2025-12-06,2025-12-08,2,1.0,Standard,Half Board,Website,23788.26,15.0,20220.02,success,No,0.0,,3.0
BKG000099,HTL0021,CUST01084,2025-11-26,2025-12-01,2025-12-04,3,1.0,Premium,Breakfast Included,WEBSITE,48036.02,10.0,43232.42,Success,N,0.0,5.0,
BKG000100,HTL0280,CUST04362,2024-05-24,2024-05-31,2024-06-03,3,4.0,Premium,Breakfast Included,Website,167490.11,0.0,167490.11,Success,N,0.0,,
BKG000101,HTL0060,CUST03301,2025-03-12,2025-04-20,2025-04-21,1,1.0,Executive,Half Board,Website,4123.79,5.0,3917.6,success,FALSE,0.0,39.0,5.0
BKG000102,HTL0230,CUST05192,2025-04-04,2025-04-19,2025-04-22,3,4.0,Standard,Breakfast Included,App,95922.0,10.0,86329.8,Pending,N,0.0,15.0,4.0
BKG000103,HTL0026,CUST05780,2024-06-13,2024-06-27,2024-06-28,1,2.0,Premium,Room Only,App,23526.64,5.0,22350.31,Success,no,0.0,14.0,3.0
BKG000104,HTL0224,CUST02382,2024-03-31,2024-06-05,2024-06-06,1,1.0,Standard,Half Board,Website,8116.34,0.0,8116.34,Success,no,0.0,,2.0
BKG000105,HTL0087,CUST00044,2025-09-13,2025-09-27,2025-09-29,2,1.0,Executive,Breakfast Included,Website,30202.26,5.0,28692.15,failed,0,0.0,,3.0
BKG000106,HTL0142,CUST01342,09/05/2026,2026-05-15,2026-05-16,1,2.0,Standard,Room Only,App,19281.44,5.0,18317.37,Success,FALSE,0.0,,2.0
BKG000107,HTL0142,CUST02758,2025-11-22,2025-12-03,2025-12-07,4,2.0,Deluxe,Half Board,app,83238.23,10.0,74914.41,success,FALSE,0.0,,
BKG000108,HTL0180,CUST05383,14/05/2026,2026-06-17,2026-06-19,2,1.0,Deluxe,Breakfast Included,Website,6227.65,10.0,5604.88,Success,0,0.0,,4.0
BKG000109,HTL0197,CUST00721,2025-08-14,2025-08-23,2025-08-25,2,1.0,Suite,Breakfast Included,,29220.8,0.0,29220.8,failed,No,0.0,,5.0
BKG000110,HTL0220,CUST01983,2025-03-30,2025-04-05,2025-04-06,1,1.0,Standard,Breakfast Included,Call Center,10193.53,15.0,8664.5,Success,No,0.0,,5.0
BKG000111,HTL0258,CUST01702,20/07/2025,2025-08-30,2025-09-09,10,1.0,Deluxe,Breakfast Included,App,75094.89,5.0,71340.15,,yes,38884.39,,
BKG000112,HTL0035,CUST02579,2026-07-18,2026-07-25,2026-07-26,1,1.0,Premium,Breakfast Included,Website,16323.76,10.0,14691.38,success,N,0.0,7.0,3.0
BKG000113,HTL0048,CUST01545,2024-04-22,2024-06-07,2024-06-08,1,,Deluxe,Breakfast Included,Website,44131.65,0.0,44131.65,Success,N,0.0,,
BKG000114,HTL0048,CUST01771,14/11/2023,2023-11-16,2023-11-18,2,3.0,Standard,Breakfast Included,Travel Agent,56323.1,25.0,42242.32,SUCCESS,FALSE,0.0,,4.0
BKG000115,HTL0228,CUST03680,13/06/2026,2026-06-17,2026-06-18,1,3.0,Suite,Room Only,Website,58741.04,0.0,58741.04,Success,N,0.0,,
BKG000116,HTL0218,CUST01160,21/09/2025,2025-09-21,2025-09-30,9,1.0,Suite,Breakfast Included,App,175813.11,15.0,149441.14,Success,0,0.0,0.0,5.0
BKG000117,HTL0176,CUST02549,04/02/2025,2025-02-11,2025-02-13,2,1.0,Standard,Full Board,,19133.02,0.0,19133.02,Failed,FALSE,0.0,7.0,2.0
BKG000118,HTL0153,CUST00180,2024-11-17,2024-11-26,2024-11-27,1,1.0,Standard,Breakfast Included,App,6687.72,20.0,5350.18,SUCCESS,0,0.0,,3.0
BKG000119,HTL0101,CUST05563,2025-07-06,2025-07-17,2025-07-22,5,1.0,Standard,Breakfast Included,Travel Agent,51025.36,15.0,43371.56,Pending,TRUE,35152.01,11.0,
BKG000120,HTL0009,CUST02178,2026-05-10,2026-05-10,2026-05-14,4,2.0,Deluxe,Room Only,Travel Agent,75167.88,0.0,75167.88,Pending,no,0.0,0.0,4.0
BKG000121,HTL0140,CUST05191,2024-07-26,2024-07-27,2024-07-31,4,2.0,Standard,Room Only,,92707.19,15.0,78801.11,Refunded,no,0.0,,
BKG000122,HTL0204,CUST00729,2025-06-02,2025-06-10,2025-06-15,5,1.0,Premium,Half Board,WEBSITE,57114.78,10.0,51403.3,success,0,0.0,8.0,2.0
BKG000123,HTL0151,CUST01892,06/08/2024,2024-08-14,2024-08-15,1,3.0,Deluxe,Room Only,App,37141.75,15.0,31570.49,SUCCESS,FALSE,0.0,,4.0
BKG000124,HTL0061,CUST01171,01/06/2025,2025-06-06,2025-06-11,5,1.0,Suite,Room Only,,89962.76,0.0,89962.76,Success,FALSE,0.0,5.0,4.0
BKG000125,HTL0240,CUST04814,2023-10-10,2023-10-15,2023-10-20,5,3.0,Standard,Breakfast Included,App,114778.22,15.0,97561.49,SUCCESS,0,0.0,5.0,3.0
BKG000126,HTL0190,CUST01044,25/05/2025,2025-05-27,2025-05-28,1,1.0,Standard,Full Board,App,11491.48,0.0,11491.48,pending,yes,8593.06,2.0,
BKG000127,HTL0136,CUST03236,16/05/2025,2025-05-23,2025-05-24,1,1.0,Standard,Breakfast Included,Travel Agent,8605.22,10.0,7744.7,success,no,0.0,7.0,3.0
BKG000128,HTL0145,CUST04563,2025-06-06,2025-06-28,2025-07-01,3,1.0,Deluxe,Half Board,App,42803.08,15.0,36382.62,pending,N,0.0,,3.0
BKG000129,HTL0086,CUST04576,2024-02-28,2024-04-02,2024-04-07,5,3.0,Executive,Room Only,App,139989.32,25.0,104991.99,success,No,0.0,,
BKG000130,HTL0210,CUST03202,2025-05-30,2025-06-05,2025-06-08,3,1.0,Premium,Room Only,App,19236.18,20.0,15388.94,SUCCESS,0,0.0,,
BKG000131,HTL0106,CUST01296,2026-02-16,2026-03-10,2026-03-14,4,1.0,Deluxe,Breakfast Included,Call Center,49549.32,5.0,47071.85,Success,No,0.0,22.0,2.0
BKG000132,HTL0267,CUST04116,2024-04-19,2024-05-28,2024-06-02,5,1.0,Executive,Breakfast Included,App,55963.58,20.0,44770.86,Failed,0,0.0,,4.0
BKG000133,HTL0096,CUST04024,2026-01-01,2026-01-04,2026-01-06,2,2.0,Premium,Room Only,App,45021.35,5.0,42770.28,success,Yes,28420.2,3.0,
BKG000134,HTL0027,CUST01375,2024-11-21,2024-12-02,2024-12-03,1,1.0,Deluxe,Half Board,Website,9475.27,5.0,9001.51,SUCCESS,No,0.0,11.0,4.0
BKG000135,HTL0016,CUST02640,16/11/2025,2025-11-29,2025-12-03,4,,Deluxe,Half Board,Call Center,51303.82,15.0,43608.25,Pending,FALSE,0.0,13.0,4.0
BKG000136,HTL0225,CUST02143,2026-01-08,2026-01-14,2026-01-15,1,1.0,Standard,Half Board,Call Center,7835.44,0.0,7835.44,Success,N,0.0,6.0,
BKG000137,HTL0273,CUST04842,2024-06-03,2024-06-07,2024-06-11,4,2.0,Deluxe,Half Board,Travel Agent,67802.48,0.0,67802.48,Success,no,0.0,4.0,
BKG000138,HTL0001,CUST05755,2025-09-18,2025-11-03,2025-11-04,1,1.0,Suite,Full Board,App,11419.43,5.0,10848.46,Success,N,0.0,,2.0
BKG000139,HTL0212,CUST00459,12/11/2025,2025-11-17,2025-11-20,3,3.0,Suite,Half Board,Travel Agent,177701.75,,168816.66,pending,Y,165971.28,,
BKG000140,HTL0214,CUST03197,2025-01-10,2025-01-28,2025-02-01,4,1.0,Premium,Room Only,WEBSITE,41989.41,20.0,33591.53,success,no,0.0,,
BKG000141,HTL0089,CUST00597,2024-01-11,2024-02-14,2024-02-17,3,1.0,Standard,Full Board,Call Center,23237.99,15.0,19752.29,Success,Yes,16681.32,34.0,
BKG000142,HTL0222,CUST01784,2025-05-21,2025-06-04,2025-06-05,1,1.0,Deluxe,Half Board,WEBSITE,7664.75,10.0,6898.28,success,No,0.0,14.0,
BKG000143,HTL0190,CUST05621,2024-08-22,2024-09-05,2024-09-06,1,1.0,Deluxe,Breakfast Included,Call Center,15274.24,10.0,13746.82,Refunded,N,0.0,,
BKG000144,HTL0014,CUST05220,22/09/2025,2025-09-24,2025-09-30,6,1.0,Suite,Room Only,,91340.07,0.0,91340.07,Refunded,0,0.0,2.0,
BKG000145,HTL0149,CUST01902,08/04/2026,2026-04-29,2026-04-30,1,1.0,Deluxe,Room Only,Website,13575.17,15.0,11538.89,pending,0,0.0,,4.0
BKG000146,HTL0091,CUST02101,25/03/2026,2026-04-20,2026-04-23,3,1.0,Suite,Breakfast Included,WEBSITE,54563.95,0.0,54563.95,SUCCESS,No,0.0,26.0,
BKG000147,HTL0202,CUST04455,2024-06-06,2024-08-06,2024-08-08,2,1.0,Deluxe,Half Board,WEBSITE,24070.57,25.0,18052.93,Success,N,0.0,,
BKG000148,HTL0012,CUST01255,2025-02-25,2025-05-14,2025-05-16,2,1.0,Standard,Breakfast Included,Website,13449.6,0.0,13449.6,SUCCESS,N,0.0,,2.0
BKG000149,HTL0055,CUST02057,10/04/2024,2024-04-11,2024-04-13,2,2.0,Standard,Breakfast Included,Travel Agent,37255.59,5.0,35392.81,success,No,0.0,,2.0
BKG000150,HTL0189,CUST03527,2025-08-04,2025-09-05,2025-09-10,5,1.0,Suite,Full Board,App,70938.43,0.0,70938.43,pending,no,0.0,,2.0
BKG000151,HTL0168,CUST05678,2024-01-22,2024-02-22,2024-02-23,1,4.0,Premium,Half Board,App,41044.78,0.0,41044.78,SUCCESS,no,0.0,31.0,3.0
BKG000152,HTL0227,CUST04965,23/10/2025,2025-10-25,2025-10-28,3,2.0,Deluxe,Room Only,,76933.91,0.0,76933.91,Failed,0,0.0,,1.0
BKG000153,HTL0172,CUST00106,2025-06-16,2025-06-19,2025-06-23,4,1.0,Premium,Room Only,,67862.76,10.0,61076.48,SUCCESS,no,0.0,3.0,
BKG000154,HTL0197,CUST01278,02/01/2025,2025-01-09,2025-01-10,1,3.0,Suite,Half Board,Call Center,37444.19,10.0,33699.77,Failed,N,0.0,7.0,
BKG000155,HTL0118,CUST02989,24/05/2026,2026-05-30,2026-05-31,1,1.0,Premium,Room Only,App,13285.74,0.0,13285.74,Refunded,N,0.0,,5.0
