hotel_id,Search_Date,Stay Date,Device,Search_Rank_Position,Click_Flag,Price Shown(INR),Competitor Avg Price,Occupancy Rate(%),Conversion_Flag
HTL0026,2025-12-05,2025-12-17,IOS APP,9.0,0,6945.5,,50.3,0
HTL0226,2024-03-25,2024-03-27,IOS APP,16.0,0,15300.12,,73.4,0
HTL0083,2026-06-30,2026-07-19,android app,1.0,0,8770.33,9565.73,,0
HTL0295,2025-03-17,2025-03-28,,10.0,0,8865.84,,,0
HTL0189,2025-09-22,2025-10-03,Android App,1.0,0,12870.77,,,0
HTL0079,2024-03-24,2024-04-14,,8.0,0,5415.97,,25.8,0
HTL0050,2026-06-22,2026-07-12,iOS App,22.0,0,9732.66,8727.1,59.0,0
HTL0093,2024-02-22,2024-04-07,android app,,0,7723.22,7984.51,,0
HTL0267,2025-07-11,2025-07-11,iOS App,2.0,0,13584.13,,40.7,0
HTL0203,2023-09-23,2023-09-26,android app,26.0,0,6415.46,,33.8,0
HTL0068,2026-09-05,2026-10-06,Desktop Web,2.0,1,9256.45,8691.87,31.6,0
HTL0268,2023-10-16,2023-10-28,,31.0,0,10447.29,,52.8,0
HTL0053,2025-10-01,2025-10-06,,4.0,1,7351.44,6524.53,,0
HTL0091,2025-09-13,2025-09-15,IOS APP,2.0,0,12901.5,,59.4,0
HTL0239,2023-11-26,2023-12-25,,9.0,1,11150.08,,33.6,0
HTL0236,2024-08-30,2024-08-31,android app,2.0,0,12938.79,,54.8,0
HTL0149,2026-03-27,2026-04-22,android app,7.0,1,9743.18,8502.1,49.7,0
HTL0113,2025-07-12,2025-07-20,IOS APP,20.0,1,5993.97,,74.3,0
HTL0114,2024-03-14,2024-04-16,,8.0,0,10553.91,9573.81,89.6,0
HTL0013,2024-05-20,2024-05-28,iOS App,45.0,0,7702.44,8313.9,28.2,0
HTL0090,2024-11-10,2024-11-20,iOS App,4.0,0,8750.47,7186.02,67.0,0
HTL0199,2026-04-25,2026-04-26,Desktop Web,5.0,1,7415.04,,43.2,0
HTL0138,2026-06-22,2026-07-26,,13.0,0,9259.75,,63.5,0
HTL0293,2026-03-15,2026-03-29,Android App,1.0,0,9562.54,,,0
HTL0226,2024-10-08,2024-10-21,,7.0,1,11044.12,10189.35,45.6,0
HTL0005,2025-08-21,2025-10-10,iOS App,2.0,0,9821.62,,62.7,0
HTL0250,2025-02-15,2025-02-16,iOS App,16.0,0,9678.41,,23.7,0
HTL0089,2025-07-11,2025-07-18,Mobile Web,3.0,0,10894.27,,53.6,0
HTL0258,2024-04-19,2024-04-23,,5.0,0,4991.24,,34.6,0
HTL0226,2025-02-12,2025-02-23,Desktop Web,1.0,0,13830.12,13444.01,51.6,0
HTL0145,2024-11-20,2024-11-21,android app,14.0,0,10569.65,,34.5,0
HTL0062,2025-10-03,2025-10-26,Desktop Web,2.0,1,10062.36,10208.75,48.9,0
HTL0279,2026-03-09,2026-03-18,,10.0,1,9181.3,,58.4,1
HTL0031,2024-09-30,2024-10-31,,6.0,1,14506.2,13993.11,49.4,0
HTL0123,2025-03-27,2025-03-28,Android App,33.0,1,8753.76,8277.42,30.4,0
HTL0137,2024-10-04,2024-11-11,android app,4.0,0,11554.17,11274.13,,0
HTL0072,2025-06-08,2025-09-06,Desktop Web,2.0,1,13247.32,,35.0,0
HTL0252,2025-03-17,2025-04-11,Desktop Web,1.0,0,6072.05,5794.22,42.0,0
HTL0156,2024-11-30,2024-12-28,IOS APP,1.0,1,10040.7,12805.13,66.6,0
HTL0166,2026-07-15,2026-07-16,Android App,1.0,1,8112.17,,62.0,0
HTL0184,2024-11-12,2024-11-21,android app,12.0,1,8473.63,9567.34,46.2,0
HTL0022,2026-07-03,2026-07-22,Desktop Web,2.0,0,9735.46,,29.0,0
HTL0254,2024-10-27,2024-10-31,,9.0,0,11134.22,9903.39,80.6,0
HTL0296,2024-09-11,2024-09-13,,1.0,0,8404.91,7518.21,33.6,0
HTL0110,2025-03-11,2025-04-04,Android App,,1,7738.09,7251.56,76.4,0
HTL0142,2025-01-17,2025-01-23,Mobile Web,11.0,1,8381.47,8205.25,31.9,0
HTL0047,2026-09-17,2026-10-16,Android App,,0,13781.87,,51.2,0
HTL0106,2024-04-09,2024-04-12,android app,13.0,0,10194.98,,19.2,0
HTL0027,2026-02-08,2026-02-21,android app,1.0,0,8699.45,8603.36,59.7,0
HTL0237,2023-09-25,2023-10-14,,10.0,0,13369.03,13127.66,39.6,0
HTL0117,2026-02-17,2026-03-03,Mobile Web,13.0,1,11059.49,,,1
HTL0284,2026-01-25,2026-01-28,,12.0,0,6255.69,5910.92,65.9,0
HTL0081,2024-03-20,2024-04-03,,3.0,1,7018.56,,24.0,0
HTL0174,2026-08-25,2026-09-01,,26.0,0,12128.96,,,0
HTL0265,2025-09-27,2025-10-27,android app,1.0,1,7035.04,,23.9,0
HTL0061,2024-09-09,2024-09-22,IOS APP,10.0,0,9184.65,,24.5,0
HTL0159,2025-10-10,2025-11-01,Desktop Web,7.0,0,8536.09,8666.09,56.6,0
HTL0147,2025-05-30,2025-06-18,android app,1.0,0,8250.45,,,0
HTL0074,2025-11-25,2025-11-25,Android App,4.0,1,2870.56,,57.9,1
HTL0008,2025-03-03,2025-03-20,Desktop Web,14.0,0,9410.6,8904.03,40.4,0
HTL0096,2023-10-07,2023-10-10,IOS APP,,1,7915.53,,36.2,0
HTL0205,2026-04-14,2026-04-20,android app,22.0,0,8320.97,,18.3,0
HTL0298,2024-10-06,2024-10-07,,3.0,1,10396.23,,,0
HTL0250,2023-12-10,2024-01-09,android app,12.0,0,9218.89,,,0
HTL0027,2026-03-31,2026-04-01,IOS APP,1.0,1,8009.66,7496.64,43.2,0
HTL0258,2026-03-21,2026-04-25,android app,1.0,1,8341.87,,51.3,0
HTL0233,2025-01-12,2025-01-14,iOS App,9.0,0,8023.02,6979.37,40.7,0
HTL0061,2024-07-24,2024-09-07,,5.0,0,8679.49,8648.61,54.9,0
HTL0068,2024-01-24,2024-02-28,,6.0,1,8934.96,,11.5,0
HTL0012,2025-09-23,2025-10-09,,2.0,1,6578.02,,46.1,0
HTL0019,2025-08-30,2025-09-04,,1.0,0,3695.35,2778.08,34.6,0
HTL0050,2026-03-07,2026-04-16,Desktop Web,1.0,1,9511.84,,39.7,1
HTL0205,2025-04-13,2025-05-13,,,0,7086.78,6855.11,53.9,0
HTL0148,2026-01-02,2026-01-03,,1.0,1,11663.43,,81.3,1
HTL0299,2023-10-01,2023-10-01,Desktop Web,1.0,0,13961.9,15009.06,53.1,0
HTL0200,2025-11-26,2025-12-27,iOS App,3.0,1,15264.18,16667.36,60.6,1
HTL0195,2024-07-05,2024-07-06,Android App,20.0,1,11894.66,,42.6,0
HTL0180,2024-10-22,2024-10-29,iOS App,3.0,0,4630.11,4477.53,21.1,0
HTL0282,2024-12-24,2024-12-24,,,0,12823.06,12892.84,65.0,0
HTL0140,2024-10-06,2024-10-08,android app,,0,9414.74,8827.12,52.2,0
HTL0293,2026-07-30,2026-08-02,Desktop Web,7.0,0,10658.85,9698.88,,0
HTL0267,2023-09-27,2023-10-19,android app,2.0,0,10413.97,7854.23,57.1,0
HTL0102,2025-03-12,2025-03-12,iOS App,2.0,0,10782.19,,48.2,0
HTL0295,2025-03-03,2025-05-17,android app,4.0,1,10728.83,,73.1,1
HTL0129,2025-07-15,2025-07-19,,15.0,0,7860.73,,,0
HTL0138,2026-06-28,2026-07-18,,,0,9569.42,10490.69,,0
HTL0243,2024-12-06,2024-12-08,,8.0,0,6674.99,6946.53,45.5,0
HTL0219,2025-10-30,2025-11-03,,3.0,0,7700.82,6437.1,,0
HTL0031,2025-04-18,2025-05-11,Desktop Web,3.0,0,9424.86,,67.6,0
HTL0139,2025-10-13,2025-10-14,Mobile Web,2.0,1,9815.64,,60.1,0
HTL0078,2023-10-10,2023-10-24,Desktop Web,16.0,0,5267.62,5316.77,42.0,0
HTL0258,2026-03-30,2026-04-10,,8.0,0,7398.51,6905.49,63.3,0
HTL0262,2024-07-01,2024-07-17,Android App,3.0,0,3946.8,,27.1,0
HTL0241,2025-10-26,2025-10-26,Android App,1.0,0,7490.15,7787.26,30.5,0
HTL0036,2024-08-25,2024-09-02,Desktop Web,3.0,0,6553.39,,22.4,0
HTL0054,2026-08-25,2026-10-02,Mobile Web,6.0,0,12752.84,13463.22,53.0,0
HTL0166,2024-10-02,2024-10-03,,8.0,0,8806.67,8774.44,29.2,0
HTL0168,2024-01-06,2024-01-31,,25.0,0,10552.62,,43.8,0
HTL0193,2025-05-30,2025-06-06,android app,9.0,0,9560.43,,22.4,0
HTL0151,2026-01-29,2026-02-14,,4.0,1,10134.58,,68.3,0
HTL0073,2024-11-13,2024-11-24,,4.0,0,5077.27,3895.36,61.8,0
HTL0078,2026-06-21,2026-07-12,IOS APP,6.0,1,4456.78,3574.14,,0
HTL0110,2024-06-24,2024-07-17,android app,6.0,0,7794.14,,61.7,0
HTL0001,2023-11-15,2023-12-07,android app,21.0,0,6079.75,4713.12,63.7,0
HTL0173,2026-06-21,2026-06-21,Android App,2.0,0,9269.13,8251.71,42.1,0
HTL0285,2024-07-07,2024-07-19,iOS App,4.0,1,10655.79,9579.26,41.2,0
HTL0105,2026-05-30,2026-06-03,Mobile Web,15.0,1,8824.12,,38.4,0
HTL0071,2025-06-13,2025-06-22,iOS App,20.0,0,10418.78,10698.4,,0
HTL0298,2024-01-07,2024-01-24,,4.0,1,10144.95,11022.18,,0
HTL0283,2024-09-04,2024-09-04,Mobile Web,2.0,0,10761.47,9146.85,50.9,0
HTL0007,2024-12-31,2025-01-27,Desktop Web,27.0,0,7242.65,,86.4,0
HTL0282,2025-10-26,2025-11-15,,19.0,1,11529.42,9379.28,36.0,0
HTL0290,2025-12-05,2025-12-14,Android App,3.0,0,9354.32,,45.1,0
HTL0275,2025-09-10,2025-09-12,,9.0,1,10275.24,,48.9,0
HTL0287,2025-08-21,2025-08-22,,4.0,1,3434.39,,8.8,0
HTL0278,2023-11-21,2023-12-10,IOS APP,4.0,1,9280.71,10708.76,50.2,0
HTL0097,2023-09-25,2023-10-09,Android App,1.0,1,8228.11,8899.46,69.9,0
HTL0266,2024-07-09,2024-08-06,,2.0,0,4919.44,,43.0,0
HTL0044,2025-06-19,2025-07-07,,1.0,0,10361.36,,31.9,0
HTL0005,2025-04-22,2025-04-25,iOS App,11.0,1,10916.41,,,1
HTL0243,2025-07-23,2025-08-02,,15.0,0,7879.5,,,0
HTL0256,2024-05-04,2024-05-28,Mobile Web,,0,10031.99,7895.32,12.0,0
HTL0270,2025-10-18,2025-11-08,iOS App,25.0,0,8321.23,8546.43,48.7,0
HTL0135,2025-09-29,2025-09-30,Mobile Web,5.0,1,9060.71,,61.7,0
HTL0245,2025-03-26,2025-04-10,,1.0,0,8151.22,,30.4,0
HTL0106,2025-04-15,2025-05-01,Mobile Web,7.0,1,10066.43,11465.74,70.2,0
HTL0079,2026-04-10,2026-06-11,,2.0,0,5132.82,,62.2,0
HTL0297,2025-08-17,2025-08-17,,4.0,1,7121.79,6653.07,81.5,0
HTL0196,2026-04-10,2026-04-28,,27.0,0,5926.73,,16.3,0
HTL0208,2025-03-24,2025-04-08,,3.0,1,7707.37,7610.03,27.4,0
HTL0250,2024-05-16,2024-05-28,,1.0,0,8905.12,,42.2,0
HTL0135,2026-01-24,2026-01-30,android app,12.0,0,9589.39,8495.07,60.0,0
HTL0152,2026-02-28,2026-04-14,Desktop Web,2.0,1,13128.93,12854.83,34.5,0
HTL0262,2024-07-08,2024-07-20,,12.0,1,5195.93,4810.59,54.5,0
HTL0096,2025-03-15,2025-03-16,Desktop Web,16.0,0,11592.46,,,0
HTL0093,2024-09-29,2024-10-14,Mobile Web,15.0,1,7647.86,7330.68,35.7,0
HTL0156,2025-07-05,2025-07-18,iOS App,5.0,0,13624.63,,21.6,0
HTL0209,2026-07-08,2026-07-09,Android App,3.0,1,11394.03,12303.76,48.0,0
HTL0231,2024-01-13,2024-01-30,iOS App,9.0,1,10246.65,,60.6,0
HTL0158,2024-01-22,2024-02-03,iOS App,,0,13070.51,13157.89,71.3,0
HTL0217,2025-01-04,2025-01-20,Android App,5.0,1,6440.89,,60.2,1
HTL0083,2023-11-29,2023-12-31,Mobile Web,38.0,0,9258.39,,75.8,0
HTL0234,2023-09-22,2023-10-14,Desktop Web,1.0,0,11373.42,,72.2,0
HTL0081,2025-10-16,2025-10-25,Android App,1.0,0,8460.43,,54.0,0
HTL0128,2024-10-14,2025-02-11,android app,10.0,1,7751.57,,79.0,1
HTL0263,2025-09-26,2025-10-14,android app,1.0,0,10499.97,,39.3,0
HTL0190,2026-01-31,2026-02-03,,7.0,0,11955.38,11983.21,43.8,0
HTL0074,2025-11-04,2025-11-19,,12.0,0,3180.46,2648.42,49.5,0
HTL0031,2026-03-09,2026-03-16,,8.0,1,9899.56,,,0
HTL0085,2026-02-25,2026-02-28,Mobile Web,8.0,0,8141.45,,63.2,0
HTL0119,2024-08-27,2024-09-13,IOS APP,20.0,0,13864.41,18798.95,58.3,0
HTL0267,2023-09-17,2023-09-26,,18.0,0,12201.6,,33.6,0
HTL0089,2024-09-27,2024-09-27,,3.0,1,9916.9,,73.4,0
HTL0246,2025-02-27,2025-03-01,,27.0,1,8774.46,,42.9,0
HTL0279,2025-05-14,2025-06-03,Desktop Web,8.0,0,8067.84,,40.1,0
HTL0210,2025-03-18,2025-03-30,android app,4.0,1,4154.04,3466.1,71.9,0
HTL0160,2025-06-27,2025-06-29,,6.0,0,5951.44,6908.37,82.6,0
HTL0155,2025-10-21,2025-10-22,,4.0,0,11230.25,,67.2,0
HTL0029,2026-05-14,2026-05-23,Android App,13.0,1,12537.61,,60.5,0
HTL0071,2024-02-28,2024-03-27,Mobile Web,21.0,0,13303.02,15348.91,74.2,0
HTL0138,2026-03-19,2026-03-29,iOS App,,0,9921.25,7380.24,26.2,0
HTL0184,2024-09-18,2024-09-24,Android App,16.0,0,9132.65,,47.2,0
HTL0225,2025-03-24,2025-03-25,,4.0,0,7389.04,,,0
HTL0289,2025-01-23,2025-01-25,,12.0,0,9105.94,9750.76,16.7,0
HTL0137,2024-10-09,2024-11-29,IOS APP,14.0,1,11326.9,,,0
HTL0194,2025-10-07,2025-11-21,Mobile Web,,1,7704.06,,39.5,0
HTL0215,2024-08-24,2024-09-07,iOS App,1.0,1,4739.83,5105.06,56.7,1
HTL0144,2025-01-30,2025-02-05,iOS App,,0,7550.03,6582.51,47.0,0
HTL0210,2025-03-04,2025-03-16,Desktop Web,1.0,0,6471.71,,62.0,0
HTL0300,2026-02-08,2026-02-11,Mobile Web,3.0,1,8226.48,,39.5,0
HTL0170,2025-03-12,2025-03-18,Mobile Web,8.0,0,10225.32,,52.8,0
HTL0124,2025-09-04,2025-09-16,iOS App,22.0,0,7052.61,,68.2,0
HTL0210,2024-01-24,2024-01-26,Mobile Web,3.0,0,6016.1,6711.57,28.9,0
HTL0200,2024-02-02,2024-03-01,Desktop Web,1.0,0,9199.05,,49.5,0
HTL0196,2024-02-11,2024-03-27,,3.0,0,9394.83,8184.51,67.6,0
HTL0158,2025-07-27,2025-08-13,Android App,24.0,0,9685.9,10849.91,,0
HTL0006,2025-11-24,2025-11-29,,9.0,1,11418.54,,47.8,0
HTL0154,2024-08-22,2024-09-02,Android App,5.0,0,5798.04,,27.5,0
HTL0153,2026-05-28,2026-06-11,Android App,2.0,0,7110.61,,39.6,0
HTL0261,2025-09-22,2025-10-01,,5.0,1,8638.65,,67.4,0
HTL0018,2026-04-30,2026-06-27,IOS APP,12.0,0,8364.97,,75.2,0
HTL0068,2026-03-09,2026-03-14,IOS APP,1.0,0,8635.49,,37.0,0
HTL0195,2024-09-26,2024-09-28,iOS App,1.0,1,13600.26,12541.44,15.6,0
HTL0041,2024-04-18,2024-05-09,IOS APP,1.0,0,8757.55,,52.7,0
HTL0298,2025-02-15,2025-02-18,Mobile Web,1.0,0,12283.03,13796.76,64.7,0
HTL0271,2023-10-27,2023-11-29,Mobile Web,1.0,1,11229.7,,48.7,0
HTL0083,2024-02-16,2024-02-18,,2.0,1,6664.94,4912.75,52.4,0
HTL0208,2024-03-04,2024-03-23,,11.0,0,9831.97,,49.1,0
HTL0184,2024-03-02,2024-03-15,Android App,8.0,0,10054.17,10487.63,49.5,0
HTL0292,2024-07-16,2024-07-22,,12.0,0,9485.61,,53.2,0
HTL0266,2025-06-21,2025-07-17,android app,1.0,1,6516.91,,40.6,0
HTL0113,2025-03-31,2025-04-17,iOS App,2.0,1,5024.61,,34.0,0
HTL0240,2024-05-31,2024-06-26,iOS App,3.0,0,7305.64,,48.3,0
HTL0143,2025-10-25,2025-10-27,IOS APP,12.0,0,8409.17,,,0
HTL0138,2024-03-07,2024-03-16,,9.0,1,9647.16,,40.6,0
HTL0007,2026-08-02,2026-08-05,Android App,3.0,1,8537.88,,52.2,0
HTL0223,2025-09-03,2025-09-19,IOS APP,12.0,1,10217.96,,30.3,0
HTL0177,2024-10-02,2024-10-04,,1.0,0,6434.55,,40.5,0
HTL0140,2026-02-06,2026-02-13,,10.0,1,10716.2,8441.48,42.7,0
HTL0136,2026-02-24,2026-03-03,,1.0,1,11495.52,,64.1,0
HTL0118,2024-10-26,2024-10-26,Mobile Web,24.0,1,10149.47,8544.82,60.2,0
HTL0038,2024-12-09,2024-12-20,IOS APP,9.0,1,8903.1,,76.1,0
HTL0145,2026-04-26,2026-05-11,android app,16.0,1,6732.72,,37.8,1
HTL0300,2026-03-19,2026-03-19,android app,1.0,1,8425.76,,60.5,1
HTL0027,2025-07-05,2025-07-22,,3.0,0,7210.48,,,0
HTL0136,2025-05-25,2025-06-23,android app,1.0,0,8752.17,,43.0,0
HTL0152,2026-05-10,2026-05-28,,1.0,0,12163.14,12695.82,66.3,0
HTL0292,2024-06-03,2024-08-08,IOS APP,1.0,0,12332.65,,74.5,0
HTL0182,2024-05-13,2024-05-13,,1.0,0,9510.37,,42.0,0
HTL0209,2025-11-09,2025-11-10,Desktop Web,2.0,1,14331.35,,66.4,0
HTL0014,2025-09-21,2025-10-16,Desktop Web,5.0,0,7594.64,7188.65,61.9,0
HTL0031,2024-05-02,2024-05-04,,3.0,1,11661.45,11699.59,42.9,0
HTL0022,2026-01-12,2026-01-20,,,0,7577.1,,52.7,0
HTL0170,2025-01-06,2025-02-01,,7.0,0,10941.07,10990.52,25.0,0
HTL0211,2024-12-28,2024-12-28,IOS APP,3.0,0,8597.34,,30.0,0
HTL0128,2026-05-01,2026-05-06,Android App,6.0,0,8254.64,,,0
HTL0090,2026-02-26,2026-03-25,,11.0,1,9268.76,,82.9,1
HTL0106,2026-05-24,2026-05-25,,3.0,1,7994.66,,,0
HTL0229,2024-09-23,2024-11-05,,1.0,1,10608.59,10735.72,38.4,0
HTL0210,2025-08-15,2025-09-01,,1.0,1,4483.58,,69.1,0
HTL0096,2026-05-19,2026-05-19,Mobile Web,3.0,1,9221.98,10843.42,77.0,0
HTL0149,2024-07-02,2024-07-12,,5.0,0,11577.74,,45.1,0
HTL0218,2025-09-10,2025-10-05,Desktop Web,,0,11292.57,,53.8,0
HTL0229,2023-11-30,2024-01-03,,,0,14180.1,,60.8,0
HTL0105,2023-12-21,2024-01-05,,5.0,1,10651.51,,42.0,0
HTL0197,2024-10-03,2024-10-09,android app,15.0,1,5695.03,5065.13,28.7,0
HTL0202,2025-03-07,2025-03-09,,8.0,1,11689.17,,65.4,0
HTL0070,2026-04-03,2026-05-29,Desktop Web,1.0,0,10788.96,,5.0,0
HTL0150,2025-05-08,2025-05-18,iOS App,10.0,0,8016.49,8097.24,44.6,0
HTL0294,2026-04-20,2026-05-02,Mobile Web,1.0,0,11623.37,10604.14,40.7,0
HTL0031,2026-04-11,2026-05-15,Desktop Web,,0,10794.77,10518.6,56.1,0
HTL0124,2023-10-04,2023-10-21,Mobile Web,11.0,0,7480.78,7942.92,73.8,0
HTL0243,2024-06-03,2024-06-08,,2.0,0,8402.76,,52.5,0
HTL0169,2024-09-14,2024-09-20,IOS APP,3.0,1,12418.45,,72.2,0
HTL0219,2025-08-23,2025-09-02,IOS APP,2.0,0,5853.15,,84.1,0
HTL0247,2025-03-02,2025-03-19,,5.0,0,9113.4,9164.77,36.0,0
HTL0100,2024-09-24,2024-11-12,,12.0,0,11382.69,,,0
HTL0263,2025-12-25,2025-12-26,,1.0,0,13279.16,,60.2,0
HTL0299,2025-07-16,2025-09-12,,1.0,1,13269.66,14781.52,75.0,0
HTL0158,2025-10-10,2025-10-12,IOS APP,2.0,0,9982.69,10140.99,,0
HTL0018,2024-01-18,2024-01-26,,3.0,1,10033.28,9925.81,44.9,0
HTL0200,2024-08-07,2024-08-22,,13.0,0,7163.31,,,0
HTL0190,2024-04-02,2024-04-07,IOS APP,8.0,0,13527.92,,17.8,0
HTL0265,2024-04-26,2024-05-04,Desktop Web,4.0,1,8697.27,9414.24,48.2,0
HTL0218,2025-07-03,2025-07-03,,3.0,0,11225.02,,40.9,0
HTL0278,2023-11-18,2023-12-01,iOS App,6.0,0,10983.16,7527.63,28.3,0
HTL0277,2025-07-06,2025-07-14,Android App,3.0,0,10434.0,,24.1,0
HTL0176,2025-08-28,2025-08-28,iOS App,,0,9556.08,,,0
HTL0227,2023-11-25,2023-12-03,Desktop Web,3.0,1,8142.33,,88.3,0
HTL0221,2026-01-11,2026-01-20,,3.0,0,9045.79,8675.61,38.6,0
HTL0229,2024-10-05,2024-10-08,,2.0,0,9663.43,,41.0,0
HTL0152,2025-05-19,2025-05-26,Desktop Web,2.0,1,11930.58,10997.16,,1
HTL0164,2024-07-19,2024-08-16,iOS App,,0,9116.41,,62.3,0
HTL0297,2026-08-22,2026-08-30,,4.0,1,7526.87,,56.9,0
HTL0024,2024-12-24,2024-12-27,Desktop Web,16.0,0,13636.77,10126.45,68.2,0
HTL0276,2026-01-20,2026-02-10,iOS App,22.0,1,9555.11,8251.01,44.1,0
HTL0245,2025-07-06,2025-07-12,Android App,2.0,0,9080.73,,21.0,0
HTL0104,2026-07-18,2026-08-15,Android App,14.0,0,9618.52,,26.0,0
HTL0224,2025-03-03,2025-03-08,IOS APP,18.0,1,8555.84,7835.42,41.2,0
HTL0005,2026-06-12,2026-06-18,iOS App,1.0,0,8743.4,,43.5,0
HTL0090,2026-09-15,2026-10-23,,19.0,0,10629.31,,54.7,0
HTL0171,2026-05-21,2026-05-31,iOS App,6.0,1,6933.48,6647.24,31.9,0
HTL0056,2024-06-04,2024-06-23,android app,8.0,0,9949.51,,56.0,0
HTL0290,2025-08-12,2025-08-16,iOS App,1.0,1,11233.95,,41.7,0
HTL0092,2024-10-25,2024-12-12,,6.0,0,3175.66,,52.9,0
HTL0165,2024-05-29,2024-06-12,,5.0,1,8830.37,,72.3,0
HTL0105,2024-01-14,2024-01-28,iOS App,1.0,1,9184.27,,41.3,1
HTL0107,2025-10-08,2025-10-22,Android App,31.0,0,11861.34,,58.5,0
HTL0202,2025-07-25,2025-08-17,,1.0,0,13743.12,,48.0,0
HTL0129,2026-06-18,2026-08-02,,5.0,1,7787.02,8591.77,5.7,0
HTL0174,2024-04-28,2024-04-30,IOS APP,13.0,0,10351.53,8515.17,,0
HTL0023,2026-05-12,2026-06-01,,4.0,0,4793.79,,55.9,0
HTL0012,2026-01-02,2026-01-08,iOS App,4.0,1,7886.59,7198.85,34.2,0
HTL0073,2024-08-23,2024-09-11,Mobile Web,4.0,1,4565.81,5469.47,31.9,0
HTL0188,2024-06-27,2024-07-07,,8.0,0,10414.51,9496.91,35.5,0
HTL0262,2024-12-09,2024-12-18,Desktop Web,8.0,0,4126.7,4107.57,20.3,0
HTL0024,2023-10-13,2023-11-12,Mobile Web,5.0,1,13643.89,,56.3,0
HTL0105,2024-08-15,2024-09-02,iOS App,2.0,1,10174.49,6325.47,38.9,0
HTL0290,2025-05-27,2025-06-02,iOS App,3.0,0,10832.84,10006.63,66.2,0
HTL0272,2026-06-28,2026-07-26,iOS App,13.0,0,11907.2,,,0
HTL0263,2025-06-27,2025-06-27,android app,9.0,1,13519.85,15873.62,56.0,0
